using time: 1.259023, loss: 0.60449815
using time: 0.016599, loss: 0.59578359
using time: 0.016788, loss: 0.63802665
using time: 0.020794, loss: 0.60593450
using time: 0.015233, loss: 0.61011302
using time: 0.014148, loss: 0.65628272
using time: 0.019662, loss: 0.66332412
using time: 0.020033, loss: 0.63237822
using time: 0.019667, loss: 0.56932050
using time: 0.035214, loss: 0.58607084
using time: 0.014689, loss: 0.58291841
using time: 0.015372, loss: 0.55252653
using time: 0.015663, loss: 0.58427531
using time: 0.011903, loss: 0.65122390
using time: 0.017613, loss: 0.62037146
using time: 0.025477, loss: 0.58260125
using time: 0.020626, loss: 0.59035379
using time: 0.015039, loss: 0.64216232
using time: 0.035126, loss: 0.58514732
using time: 0.034656, loss: 0.57043839
using time: 0.018488, loss: 0.62252504
using time: 0.015270, loss: 0.63354164
using time: 0.014176, loss: 0.59941107
using time: 0.013826, loss: 0.56031764
using time: 0.013574, loss: 0.62692511
using time: 0.033338, loss: 0.61462271
using time: 0.018768, loss: 0.63580179
using time: 0.015660, loss: 0.59330034
using time: 0.018571, loss: 0.59713465
using time: 0.020129, loss: 0.61996102
using time: 0.016375, loss: 0.62443167
using time: 0.015519, loss: 0.60735345
using time: 0.021703, loss: 0.60844630
using time: 0.024667, loss: 0.57188660
using time: 0.022437, loss: 0.60846967
using time: 0.015882, loss: 0.61289436
using time: 0.028687, loss: 0.60871011
using time: 0.016166, loss: 0.57940370
using time: 0.021990, loss: 0.67150849
using time: 0.019362, loss: 0.57976633
using time: 0.019122, loss: 0.57081276
using time: 0.017539, loss: 0.62579042
using time: 0.023266, loss: 0.59163874
using time: 0.019734, loss: 0.56654787
using time: 0.018011, loss: 0.53930020
using time: 0.015660, loss: 0.61915171
using time: 0.013862, loss: 0.63065124
using time: 0.017066, loss: 0.54368216
using time: 0.022234, loss: 0.60427552
using time: 0.013403, loss: 0.61703318
using time: 0.014610, loss: 0.54982543
using time: 0.012689, loss: 0.59151232
using time: 0.015261, loss: 0.55990070
using time: 0.017679, loss: 0.60751837
using time: 0.027394, loss: 0.54496914
using time: 0.020108, loss: 0.59457815
using time: 0.016732, loss: 0.55996168
using time: 0.020432, loss: 0.61555970
using time: 0.019663, loss: 0.61554414
using time: 0.017310, loss: 0.58208287
using time: 0.021198, loss: 0.56685179
using time: 0.017166, loss: 0.61040175
using time: 0.026450, loss: 0.55483371
using time: 0.027871, loss: 0.61429042
using time: 0.018211, loss: 0.55509371
using time: 0.033705, loss: 0.57026017
using time: 0.020757, loss: 0.57590055
using time: 0.033752, loss: 0.53743196
using time: 0.014545, loss: 0.54625911
using time: 0.020880, loss: 0.54684424
using time: 0.034035, loss: 0.56069940
using time: 0.019868, loss: 0.57826686
using time: 0.023222, loss: 0.56170684
using time: 0.015019, loss: 0.55130100
using time: 0.018904, loss: 0.58608556
using time: 0.014166, loss: 0.59783340
using time: 0.020666, loss: 0.61048478
using time: 0.016000, loss: 0.61356604
using time: 0.018172, loss: 0.61035901
using time: 0.013850, loss: 0.54750246
using time: 0.021363, loss: 0.54142511
using time: 0.015503, loss: 0.60841650
using time: 0.016235, loss: 0.56046396
using time: 0.019380, loss: 0.55463773
using time: 0.022068, loss: 0.63548177
using time: 0.016935, loss: 0.53302592
using time: 0.015512, loss: 0.59242815
using time: 0.013723, loss: 0.57646084
using time: 0.018616, loss: 0.57329601
using time: 0.021320, loss: 0.59557307
using time: 0.019284, loss: 0.57113642
using time: 0.016081, loss: 0.58389318
using time: 0.020211, loss: 0.52820295
using time: 0.022967, loss: 0.60928202
using time: 0.020541, loss: 0.58356601
using time: 0.027591, loss: 0.56761765
using time: 0.013151, loss: 0.59753764
using time: 0.014233, loss: 0.57826251
using time: 0.015106, loss: 0.60051298
using time: 0.015737, loss: 0.59121799
using time: 0.016070, loss: 0.56513971
using time: 0.012778, loss: 0.59264112
using time: 0.015869, loss: 0.57924765
using time: 0.015219, loss: 0.63576609
using time: 0.017816, loss: 0.56812185
using time: 0.017255, loss: 0.59247488
using time: 0.030957, loss: 0.55556548
using time: 0.015278, loss: 0.59551013
using time: 0.016941, loss: 0.58182329
using time: 0.020248, loss: 0.57537264
using time: 0.024520, loss: 0.58515882
using time: 0.026509, loss: 0.56583881
using time: 0.015101, loss: 0.54231757
using time: 0.015149, loss: 0.56139016
using time: 0.018122, loss: 0.57674557
using time: 0.016511, loss: 0.55105788
using time: 0.017331, loss: 0.60108083
using time: 0.013355, loss: 0.66883010
using time: 0.018838, loss: 0.56217790
using time: 0.017552, loss: 0.52534467
using time: 0.023923, loss: 0.58902001
using time: 0.017551, loss: 0.64767462
using time: 0.018123, loss: 0.58648670
using time: 0.012245, loss: 0.57833898
using time: 0.013513, loss: 0.57629168
using time: 0.023337, loss: 0.55607992
using time: 0.023771, loss: 0.53335863
using time: 0.014305, loss: 0.57015932
using time: 0.018591, loss: 0.56475937
using time: 0.013930, loss: 0.56857449
using time: 0.015100, loss: 0.55541003
using time: 0.012860, loss: 0.61337042
using time: 0.014784, loss: 0.60138649
using time: 0.016535, loss: 0.58982676
using time: 0.020839, loss: 0.54882801
using time: 0.016671, loss: 0.58273965
using time: 0.015961, loss: 0.59431159
using time: 0.016187, loss: 0.53839839
using time: 0.015318, loss: 0.56368172
using time: 0.026539, loss: 0.56852871
using time: 0.015790, loss: 0.54587263
using time: 0.023957, loss: 0.52049732
using time: 0.032239, loss: 0.59854060
using time: 0.016586, loss: 0.58402914
using time: 0.020871, loss: 0.55741507
using time: 0.029545, loss: 0.52100664
using time: 0.022874, loss: 0.59501058
using time: 0.023837, loss: 0.59617299
using time: 0.020499, loss: 0.54096055
using time: 0.031691, loss: 0.56744170
using time: 0.017717, loss: 0.63379395
using time: 0.016564, loss: 0.58325964
using time: 0.034234, loss: 0.57406354
using time: 0.016131, loss: 0.55406314
using time: 0.020237, loss: 0.56560165
using time: 0.022398, loss: 0.56405210
using time: 0.013033, loss: 0.59778959
using time: 0.016072, loss: 0.53055078
using time: 0.014857, loss: 0.58415616
using time: 0.020610, loss: 0.55573630
using time: 0.016930, loss: 0.56438458
using time: 0.013532, loss: 0.56593680
using time: 0.018813, loss: 0.53866762
using time: 0.016865, loss: 0.49756539
using time: 0.016760, loss: 0.61363196
using time: 0.015523, loss: 0.62919188
using time: 0.016895, loss: 0.61063313
using time: 0.014468, loss: 0.58069426
using time: 0.017382, loss: 0.50483549
using time: 0.014476, loss: 0.54019201
using time: 0.018297, loss: 0.52070189
using time: 0.017126, loss: 0.59115523
using time: 0.037171, loss: 0.61556596
using time: 0.019838, loss: 0.58258373
using time: 0.012965, loss: 0.55418122
using time: 0.015322, loss: 0.60446620
using time: 0.022135, loss: 0.60762399
using time: 0.016752, loss: 0.54118699
using time: 0.032410, loss: 0.56008452
using time: 0.020452, loss: 0.55243021
using time: 0.017873, loss: 0.54561174
using time: 0.012888, loss: 0.55074471
using time: 0.018412, loss: 0.55331683
using time: 0.019811, loss: 0.51139909
using time: 0.021353, loss: 0.56389487
using time: 0.020911, loss: 0.59068173
using time: 0.028787, loss: 0.47689694
using time: 0.014797, loss: 0.52920133
using time: 0.016631, loss: 0.52161461
using time: 0.017795, loss: 0.56441402
using time: 0.016429, loss: 0.55374175
using time: 0.018409, loss: 0.59500730
using time: 0.013475, loss: 0.54383606
using time: 0.015974, loss: 0.58823389
using time: 0.013907, loss: 0.53061712
using time: 0.018005, loss: 0.63055319
using time: 0.016224, loss: 0.55649233
using time: 0.016104, loss: 0.52098733
using time: 0.016136, loss: 0.56110173
using time: 0.015440, loss: 0.53253430
using time: 0.018722, loss: 0.57201117
using time: 0.022494, loss: 0.58120668
using time: 0.015883, loss: 0.54562140
using time: 0.015748, loss: 0.59073853
using time: 0.017337, loss: 0.54344320
using time: 0.021122, loss: 0.57797951
using time: 0.019356, loss: 0.52402854
using time: 0.015504, loss: 0.57852077
using time: 0.015469, loss: 0.59004086
using time: 0.015878, loss: 0.53435969
using time: 0.026215, loss: 0.54984051
using time: 0.016773, loss: 0.55397421
using time: 0.016485, loss: 0.54323602
using time: 0.017459, loss: 0.56201339
using time: 0.016402, loss: 0.52848697
using time: 0.015208, loss: 0.51866323
using time: 0.018555, loss: 0.62295097
using time: 0.013986, loss: 0.56678915
using time: 0.013407, loss: 0.55670106
using time: 0.016650, loss: 0.55629128
using time: 0.013563, loss: 0.50958335
using time: 0.019286, loss: 0.57409799
using time: 0.019045, loss: 0.54190248
using time: 0.019704, loss: 0.52594435
using time: 0.023965, loss: 0.54954481
using time: 0.019950, loss: 0.54987627
using time: 0.016116, loss: 0.51026720
using time: 0.016290, loss: 0.56216639
using time: 0.024947, loss: 0.56217325
using time: 0.025897, loss: 0.57672006
using time: 0.019953, loss: 0.54192966
using time: 0.014817, loss: 0.52079052
using time: 0.019360, loss: 0.58090705
using time: 0.013274, loss: 0.52399528
using time: 0.019038, loss: 0.58262408
using time: 0.017362, loss: 0.61905462
using time: 0.019239, loss: 0.56261390
using time: 0.022273, loss: 0.55165011
using time: 0.016331, loss: 0.49939895
using time: 0.016192, loss: 0.58234227
using time: 0.014422, loss: 0.57021731
using time: 0.017030, loss: 0.55183333
using time: 0.018042, loss: 0.56808543
using time: 0.021931, loss: 0.57473713
using time: 0.029117, loss: 0.56056845
using time: 0.017892, loss: 0.54617536
using time: 0.023251, loss: 0.55800700
using time: 0.014386, loss: 0.55649441
using time: 0.033287, loss: 0.58343691
using time: 0.020391, loss: 0.55533820
using time: 0.024380, loss: 0.51143098
using time: 0.013641, loss: 0.56318480
using time: 0.023649, loss: 0.54014468
using time: 0.030894, loss: 0.56521297
using time: 0.020669, loss: 0.52291536
using time: 0.015710, loss: 0.56438696
using time: 0.024085, loss: 0.59031129
using time: 0.017521, loss: 0.54113650
using time: 0.020386, loss: 0.51802927
using time: 0.018917, loss: 0.52692133
using time: 0.018633, loss: 0.55122191
using time: 0.017214, loss: 0.55250055
using time: 0.014078, loss: 0.48008713
using time: 0.015045, loss: 0.52268565
using time: 0.018441, loss: 0.53382707
using time: 0.033463, loss: 0.57314402
using time: 0.013572, loss: 0.53201461
using time: 0.013793, loss: 0.60238677
using time: 0.015004, loss: 0.55817443
using time: 0.022773, loss: 0.56137586
using time: 0.014550, loss: 0.53875792
using time: 0.015555, loss: 0.54365629
using time: 0.021741, loss: 0.53200322
using time: 0.016750, loss: 0.60003942
using time: 0.020212, loss: 0.54942572
using time: 0.021404, loss: 0.55613583
using time: 0.016844, loss: 0.51089036
using time: 0.016705, loss: 0.50646633
using time: 0.021930, loss: 0.56888616
using time: 0.017852, loss: 0.52069724
using time: 0.015637, loss: 0.58158189
using time: 0.013947, loss: 0.54251260
using time: 0.015640, loss: 0.53039759
using time: 0.012081, loss: 0.53090322
using time: 0.026975, loss: 0.55002820
using time: 0.016675, loss: 0.56008291
using time: 0.039179, loss: 0.52186763
using time: 0.015342, loss: 0.52479982
using time: 0.017158, loss: 0.51502615
using time: 0.017622, loss: 0.55571991
using time: 0.019339, loss: 0.53256208
using time: 0.021676, loss: 0.55499560
using time: 0.016433, loss: 0.51974577
using time: 0.020171, loss: 0.50348282
using time: 0.045591, loss: 0.53519309
using time: 0.025611, loss: 0.52598071
using time: 0.016376, loss: 0.50179946
using time: 0.014587, loss: 0.57866389
using time: 0.014304, loss: 0.56387144
using time: 0.017476, loss: 0.52161664
using time: 0.022958, loss: 0.54369313
using time: 0.015798, loss: 0.53619474
using time: 0.013206, loss: 0.51503587
using time: 0.018602, loss: 0.49399582
using time: 0.028220, loss: 0.51939428
using time: 0.011069, loss: 0.56607115
using time: 0.018594, loss: 0.51765490
using time: 0.015073, loss: 0.54706407
using time: 0.021320, loss: 0.51732373
using time: 0.023063, loss: 0.55400294
using time: 0.016986, loss: 0.55659056
using time: 0.016225, loss: 0.54951692
using time: 0.012647, loss: 0.56998372
using time: 0.013281, loss: 0.52111793
using time: 0.031075, loss: 0.50252628
using time: 0.018428, loss: 0.52779126
using time: 0.023478, loss: 0.56496215
using time: 0.017916, loss: 0.53521693
using time: 0.017246, loss: 0.54513240
using time: 0.020999, loss: 0.56884956
using time: 0.013946, loss: 0.56280303
using time: 0.016520, loss: 0.53792495
using time: 0.015371, loss: 0.57532066
using time: 0.015241, loss: 0.50624442
using time: 0.016491, loss: 0.53392673
using time: 0.014179, loss: 0.53866422
using time: 0.014887, loss: 0.52929980
using time: 0.017837, loss: 0.52040273
using time: 0.019729, loss: 0.55528623
using time: 0.015470, loss: 0.52238166
using time: 0.015142, loss: 0.61338478
using time: 0.015284, loss: 0.53786290
using time: 0.016494, loss: 0.54138952
using time: 0.021743, loss: 0.52731615
using time: 0.023145, loss: 0.52088743
using time: 0.019715, loss: 0.58471346
using time: 0.018923, loss: 0.55538428
using time: 0.018839, loss: 0.49600217
using time: 0.015116, loss: 0.56823123
using time: 0.021680, loss: 0.51457745
using time: 0.018882, loss: 0.56366152
using time: 0.018533, loss: 0.55452573
using time: 0.019811, loss: 0.56134802
using time: 0.014786, loss: 0.58101994
using time: 0.011976, loss: 0.55458140
using time: 0.017752, loss: 0.52062476
using time: 0.014922, loss: 0.55162042
using time: 0.017364, loss: 0.51162916
using time: 0.015864, loss: 0.54286659
using time: 0.025054, loss: 0.53083986
using time: 0.021337, loss: 0.57951659
using time: 0.020738, loss: 0.53135943
using time: 0.024766, loss: 0.55039579
using time: 0.019055, loss: 0.55020064
using time: 0.019669, loss: 0.52906841
using time: 0.033447, loss: 0.51219201
using time: 0.016676, loss: 0.53685319
using time: 0.026848, loss: 0.52661300
using time: 0.019735, loss: 0.51653993
using time: 0.025050, loss: 0.51019716
using time: 0.016791, loss: 0.55774957
using time: 0.018217, loss: 0.51511544
using time: 0.016801, loss: 0.54288977
using time: 0.014869, loss: 0.49539590
using time: 0.024605, loss: 0.56768972
using time: 0.018080, loss: 0.48536479
using time: 0.018396, loss: 0.51772714
using time: 0.019575, loss: 0.51087213
using time: 0.016623, loss: 0.53428847
using time: 0.015249, loss: 0.55837536
using time: 0.016669, loss: 0.52253890
using time: 0.016539, loss: 0.51073456
using time: 0.014527, loss: 0.54822689
using time: 0.018015, loss: 0.51533568
using time: 0.013725, loss: 0.51984012
using time: 0.016731, loss: 0.53740770
using time: 0.017076, loss: 0.55637652
using time: 0.017885, loss: 0.48013431
using time: 0.016702, loss: 0.61052394
using time: 0.013968, loss: 0.54985404
using time: 0.031711, loss: 0.51571947
using time: 0.015567, loss: 0.52994400
using time: 0.014293, loss: 0.52231801
using time: 0.033379, loss: 0.49392444
using time: 0.018744, loss: 0.54647243
using time: 0.017083, loss: 0.53043973
using time: 0.015209, loss: 0.52075148
using time: 0.017629, loss: 0.55812800
using time: 0.024290, loss: 0.53455091
using time: 0.015146, loss: 0.58649749
using time: 0.020722, loss: 0.50884819
using time: 0.016155, loss: 0.63377726
using time: 0.016143, loss: 0.88954729
using time: 0.020342, loss: 0.84879512
using time: 0.025904, loss: 0.83577913
using time: 0.017479, loss: 0.86805308
using time: 0.029101, loss: 0.82294321
using time: 0.020089, loss: 0.86858267
using time: 0.011649, loss: 0.85097867
using time: 0.021195, loss: 0.87091333
using time: 0.014828, loss: 0.84931201
using time: 0.012932, loss: 0.82439971
using time: 0.013639, loss: 0.84734350
using time: 0.015906, loss: 0.86967432
using time: 0.015290, loss: 0.83034426
using time: 0.013678, loss: 0.85063142
using time: 0.013787, loss: 0.85944009
using time: 0.014621, loss: 0.87020892
using time: 0.014915, loss: 0.83106232
using time: 0.027775, loss: 0.86858964
using time: 0.014844, loss: 0.86254001
using time: 0.021998, loss: 0.88246936
using time: 0.018166, loss: 0.84648454
using time: 0.012492, loss: 0.84412360
using time: 0.013608, loss: 0.89337271
using time: 0.051608, loss: 0.81492722
using time: 0.017713, loss: 0.83989412
using time: 0.020938, loss: 0.86719596
using time: 0.021348, loss: 0.88340712
using time: 0.016679, loss: 0.78146833
using time: 0.028686, loss: 0.87039018
using time: 0.018759, loss: 0.85145968
using time: 0.015528, loss: 0.80821222
using time: 0.015307, loss: 0.79617178
using time: 0.021177, loss: 0.87364924
using time: 0.020893, loss: 0.84509903
using time: 0.019903, loss: 0.85874194
using time: 0.013665, loss: 0.82887685
using time: 0.014077, loss: 0.85315192
using time: 0.019291, loss: 0.85833222
using time: 0.018149, loss: 0.89696479
using time: 0.015595, loss: 0.86399150
using time: 0.015796, loss: 0.84288996
using time: 0.015883, loss: 0.87397379
using time: 0.015575, loss: 0.85713339
using time: 0.018185, loss: 0.92254579
using time: 0.021257, loss: 0.82712770
using time: 0.019404, loss: 0.86379361
using time: 0.018475, loss: 0.84173524
using time: 0.019104, loss: 0.83676940
using time: 0.031466, loss: 0.85763115
using time: 0.014773, loss: 0.88587648
using time: 0.015655, loss: 0.90949595
using time: 0.016318, loss: 0.84832597
using time: 0.018714, loss: 0.82689685
using time: 0.025224, loss: 0.81106126
using time: 0.017132, loss: 0.86168134
using time: 0.014650, loss: 0.84188914
using time: 0.015906, loss: 0.82356995
using time: 0.018535, loss: 0.81395090
using time: 0.016608, loss: 0.78046280
using time: 0.022417, loss: 0.85916960
using time: 0.020768, loss: 0.82003272
using time: 0.031076, loss: 0.84964997
using time: 0.017517, loss: 0.84820235
using time: 0.014552, loss: 0.86240572
using time: 0.018789, loss: 0.81371301
using time: 0.021066, loss: 0.83218962
using time: 0.013551, loss: 0.81803071
using time: 0.020567, loss: 0.85494196
using time: 0.019375, loss: 0.80756295
using time: 0.021708, loss: 0.86637771
using time: 0.024089, loss: 0.85844964
using time: 0.018560, loss: 0.84487718
using time: 0.012802, loss: 0.86661536
using time: 0.022946, loss: 0.87528384
using time: 0.017067, loss: 0.82154447
using time: 0.014440, loss: 0.85921854
using time: 0.035009, loss: 0.87067938
using time: 0.020529, loss: 0.87235850
using time: 0.017755, loss: 0.83687592
using time: 0.018850, loss: 0.87809920
using time: 0.023069, loss: 0.88887697
using time: 0.018207, loss: 0.85179770
using time: 0.024848, loss: 0.89734018
using time: 0.017019, loss: 0.81123686
using time: 0.017519, loss: 0.88038331
using time: 0.018166, loss: 0.83423960
using time: 0.025069, loss: 0.82495058
using time: 0.027265, loss: 0.80281180
using time: 0.016911, loss: 0.85271436
using time: 0.016760, loss: 0.85397011
using time: 0.015387, loss: 0.83684951
using time: 0.016631, loss: 0.84337676
using time: 0.040915, loss: 0.85945237
using time: 0.014440, loss: 0.81681544
using time: 0.018545, loss: 0.84590971
using time: 0.012769, loss: 0.76152128
using time: 0.028203, loss: 0.87297529
using time: 0.016026, loss: 0.83635002
using time: 0.017755, loss: 0.84822482
using time: 0.013052, loss: 0.80746925
using time: 0.017170, loss: 0.82950515
using time: 0.019662, loss: 0.81658071
using time: 0.016283, loss: 0.83131599
using time: 0.016827, loss: 0.80955285
using time: 0.012897, loss: 0.83635086
using time: 0.018842, loss: 0.80999351
using time: 0.018875, loss: 0.84600919
using time: 0.016140, loss: 0.78741258
using time: 0.014250, loss: 0.80320787
using time: 0.016867, loss: 0.77929693
using time: 0.021802, loss: 0.80705285
using time: 0.017049, loss: 0.81184471
using time: 0.016964, loss: 0.81489503
using time: 0.022847, loss: 0.83449286
using time: 0.013258, loss: 0.83497596
using time: 0.019528, loss: 0.87578827
using time: 0.018667, loss: 0.85712653
using time: 0.017005, loss: 0.77740800
using time: 0.013891, loss: 0.79184204
using time: 0.014310, loss: 0.80760169
using time: 0.017865, loss: 0.88697112
using time: 0.017249, loss: 0.82196641
using time: 0.018957, loss: 0.81077540
using time: 0.017011, loss: 0.85803336
using time: 0.021246, loss: 0.85677058
using time: 0.013125, loss: 0.82459480
using time: 0.014285, loss: 0.74577737
using time: 0.035796, loss: 0.84597474
using time: 0.016713, loss: 0.77979922
using time: 0.015120, loss: 0.81799585
using time: 0.015953, loss: 0.79004121
using time: 0.016070, loss: 0.79522979
using time: 0.016810, loss: 0.79965508
using time: 0.015189, loss: 0.79164934
using time: 0.014997, loss: 0.80721289
using time: 0.012503, loss: 0.74445051
using time: 0.017727, loss: 0.79510427
using time: 0.011711, loss: 0.84131914
using time: 0.017023, loss: 0.78876555
using time: 0.016040, loss: 0.82986772
using time: 0.014717, loss: 0.82656199
using time: 0.014478, loss: 0.81684220
using time: 0.016339, loss: 0.78545547
using time: 0.017361, loss: 0.80401957
using time: 0.021706, loss: 0.76533294
using time: 0.029784, loss: 0.83123308
using time: 0.017368, loss: 0.79371434
using time: 0.020725, loss: 0.84228241
using time: 0.017370, loss: 0.88936198
using time: 0.017096, loss: 0.82054716
using time: 0.027620, loss: 0.83590829
using time: 0.020121, loss: 0.82516098
using time: 0.016104, loss: 0.82881212
using time: 0.020141, loss: 0.82831693
using time: 0.017678, loss: 0.82473516
using time: 0.012938, loss: 0.82797551
using time: 0.024695, loss: 0.83357376
using time: 0.017339, loss: 0.80240977
using time: 0.018831, loss: 0.82775503
using time: 0.019338, loss: 0.89333403
using time: 0.012704, loss: 0.83312875
using time: 0.016783, loss: 0.83488846
using time: 0.021902, loss: 0.75482345
using time: 0.019710, loss: 0.82261962
using time: 0.015477, loss: 0.85461992
using time: 0.019812, loss: 0.83117694
using time: 0.020647, loss: 0.77109092
using time: 0.019802, loss: 0.81374252
using time: 0.014309, loss: 0.83600354
using time: 0.013976, loss: 0.80087602
using time: 0.015804, loss: 0.79622877
using time: 0.017143, loss: 0.75707716
using time: 0.015761, loss: 0.77423477
using time: 0.015205, loss: 0.84457397
using time: 0.017226, loss: 0.67062265
using time: 0.018640, loss: 0.84049153
using time: 0.014533, loss: 0.80029595
using time: 0.012742, loss: 0.82722890
using time: 0.021460, loss: 0.77452421
using time: 0.015573, loss: 0.79025918
using time: 0.018016, loss: 0.80503213
using time: 0.033929, loss: 0.78242147
using time: 0.012817, loss: 0.78417361
using time: 0.016771, loss: 0.84026611
using time: 0.020495, loss: 0.84341431
using time: 0.012667, loss: 0.80246919
using time: 0.019490, loss: 0.81415665
using time: 0.019010, loss: 0.79505783
using time: 0.018144, loss: 0.79509771
using time: 0.026598, loss: 0.78997821
using time: 0.020810, loss: 0.81228232
using time: 0.021882, loss: 0.81756270
using time: 0.024297, loss: 0.79660720
using time: 0.015243, loss: 0.80704665
using time: 0.011858, loss: 0.82070482
using time: 0.014972, loss: 0.80247170
using time: 0.016120, loss: 0.78533477
using time: 0.025397, loss: 0.77601844
using time: 0.014976, loss: 0.75974184
using time: 0.013813, loss: 0.79746300
using time: 0.013573, loss: 0.80100369
using time: 0.018798, loss: 0.84155768
using time: 0.015241, loss: 0.79667455
using time: 0.018016, loss: 0.79456294
using time: 0.015995, loss: 0.80839235
using time: 0.020689, loss: 0.78390634
using time: 0.022970, loss: 0.84007215
using time: 0.016697, loss: 0.79697889
using time: 0.018025, loss: 0.80570298
using time: 0.016229, loss: 0.76041389
using time: 0.014336, loss: 0.76222116
using time: 0.014978, loss: 0.79326409
using time: 0.012195, loss: 0.83962160
using time: 0.023882, loss: 0.77605993
using time: 0.019954, loss: 0.74869490
using time: 0.017886, loss: 0.78933191
using time: 0.015951, loss: 0.76007456
using time: 0.020793, loss: 0.78671408
using time: 0.023630, loss: 0.74768752
