using time: 0.765526, loss: 0.83784515
using time: 0.025331, loss: 0.84592187
using time: 0.020325, loss: 0.86290282
using time: 0.013701, loss: 0.78530318
using time: 0.015334, loss: 0.82718015
using time: 0.014396, loss: 0.81805313
using time: 0.026082, loss: 0.87692660
using time: 0.017258, loss: 0.78610057
using time: 0.018201, loss: 0.80842841
using time: 0.021200, loss: 0.81468505
using time: 0.018845, loss: 0.81440240
using time: 0.016698, loss: 0.80783862
using time: 0.019781, loss: 0.85604721
using time: 0.015976, loss: 0.78568918
using time: 0.021421, loss: 0.83397949
using time: 0.016753, loss: 0.78979009
using time: 0.016766, loss: 0.83653158
using time: 0.018354, loss: 0.81492049
using time: 0.017734, loss: 0.83879358
using time: 0.016474, loss: 0.83751017
using time: 0.017429, loss: 0.81952703
using time: 0.018799, loss: 0.85624778
using time: 0.022062, loss: 0.86570722
using time: 0.019909, loss: 0.82218111
using time: 0.019302, loss: 0.85484588
using time: 0.015001, loss: 0.80766410
using time: 0.028791, loss: 0.86345351
using time: 0.018108, loss: 0.82392466
using time: 0.017049, loss: 0.81757754
using time: 0.024452, loss: 0.83118242
using time: 0.022080, loss: 0.84741139
using time: 0.013989, loss: 0.82814133
using time: 0.032607, loss: 0.86618268
using time: 0.019346, loss: 0.80298591
using time: 0.021831, loss: 0.84512591
using time: 0.022400, loss: 0.81588012
using time: 0.018451, loss: 0.82198638
using time: 0.016291, loss: 0.84193909
using time: 0.016307, loss: 0.82467026
using time: 0.021698, loss: 0.83173460
using time: 0.016727, loss: 0.80222750
using time: 0.014684, loss: 0.86298746
using time: 0.020937, loss: 0.89457887
using time: 0.018195, loss: 0.81000733
using time: 0.016370, loss: 0.85983849
using time: 0.014896, loss: 0.84137839
using time: 0.023361, loss: 0.84128702
using time: 0.016256, loss: 0.80910742
using time: 0.013465, loss: 0.82672578
using time: 0.015147, loss: 0.85523653
using time: 0.021832, loss: 0.82912713
using time: 0.016738, loss: 0.78467774
using time: 0.018926, loss: 0.84962708
using time: 0.019040, loss: 0.81529886
using time: 0.016239, loss: 0.78051925
using time: 0.016207, loss: 0.79918230
using time: 0.017142, loss: 0.83472979
using time: 0.019721, loss: 0.80590630
using time: 0.014464, loss: 0.80622530
using time: 0.021144, loss: 0.85161710
using time: 0.019668, loss: 0.81716919
using time: 0.015375, loss: 0.79644477
using time: 0.019921, loss: 0.78752726
using time: 0.013560, loss: 0.84438348
using time: 0.014845, loss: 0.85443002
using time: 0.016625, loss: 0.80249596
using time: 0.014685, loss: 0.86558145
using time: 0.029210, loss: 0.82120293
using time: 0.022384, loss: 0.85411859
using time: 0.020620, loss: 0.81012297
using time: 0.014456, loss: 0.84573042
using time: 0.021679, loss: 0.82194823
using time: 0.034918, loss: 0.79255545
using time: 0.018931, loss: 0.81208670
using time: 0.024943, loss: 0.77784699
using time: 0.021127, loss: 0.79147333
using time: 0.020509, loss: 0.85737503
using time: 0.018783, loss: 0.79515463
using time: 0.035981, loss: 0.87460846
using time: 0.021357, loss: 0.84848857
using time: 0.016889, loss: 0.81128448
using time: 0.015762, loss: 0.84558946
using time: 0.019860, loss: 0.83839029
using time: 0.015436, loss: 0.84229255
using time: 0.016040, loss: 0.84343493
using time: 0.016001, loss: 0.78463143
using time: 0.017364, loss: 0.78795660
using time: 0.017120, loss: 0.81557292
using time: 0.016842, loss: 0.81371140
using time: 0.018906, loss: 0.81273860
using time: 0.013526, loss: 0.82443881
using time: 0.011677, loss: 0.82319129
using time: 0.013793, loss: 0.81861311
using time: 0.020479, loss: 0.90335464
using time: 0.014575, loss: 0.81474799
using time: 0.015664, loss: 0.83938897
using time: 0.018376, loss: 0.80846763
using time: 0.019201, loss: 0.82031798
using time: 0.017733, loss: 0.80121779
using time: 0.017633, loss: 0.82881105
using time: 0.018551, loss: 0.84183168
using time: 0.015698, loss: 0.82864082
using time: 0.014909, loss: 0.89893717
using time: 0.014410, loss: 0.83057982
using time: 0.012721, loss: 0.85869616
using time: 0.012206, loss: 0.83307099
using time: 0.018572, loss: 0.77975678
using time: 0.019624, loss: 0.83078796
using time: 0.020489, loss: 0.80236316
using time: 0.013909, loss: 0.83098131
using time: 0.014083, loss: 0.82515597
using time: 0.023277, loss: 0.82455271
using time: 0.021163, loss: 0.81759036
using time: 0.034762, loss: 0.82359481
using time: 0.021065, loss: 0.81131423
using time: 0.021430, loss: 0.79827011
using time: 0.020772, loss: 0.83761889
using time: 0.016994, loss: 0.86495596
using time: 0.016067, loss: 0.83771187
using time: 0.014405, loss: 0.84026766
using time: 0.014105, loss: 0.81750548
using time: 0.013812, loss: 0.83554059
using time: 0.021344, loss: 0.79975367
using time: 0.021592, loss: 0.88183039
using time: 0.017416, loss: 0.87636888
using time: 0.014997, loss: 0.83564085
using time: 0.019598, loss: 0.83320916
using time: 0.014446, loss: 0.84981263
using time: 0.014307, loss: 0.79668528
using time: 0.015062, loss: 0.81087875
using time: 0.019567, loss: 0.80991143
using time: 0.019184, loss: 0.83684981
using time: 0.021664, loss: 0.86198390
using time: 0.014046, loss: 0.87804133
using time: 0.019158, loss: 0.80154550
using time: 0.018882, loss: 0.83101493
using time: 0.015709, loss: 0.85595584
using time: 0.019154, loss: 0.80624259
using time: 0.016602, loss: 0.78163958
using time: 0.016739, loss: 0.81356919
using time: 0.021930, loss: 0.83982730
using time: 0.020603, loss: 0.82244080
using time: 0.020043, loss: 0.82659549
using time: 0.014912, loss: 0.80336028
using time: 0.013491, loss: 0.80604094
using time: 0.020411, loss: 0.84188592
using time: 0.022746, loss: 0.84905386
using time: 0.018627, loss: 0.84381175
using time: 0.017417, loss: 0.83347839
using time: 0.014122, loss: 0.82682836
using time: 0.017727, loss: 0.90268707
using time: 0.020558, loss: 0.86161309
using time: 0.022253, loss: 0.84013802
using time: 0.015820, loss: 0.82362223
using time: 0.015285, loss: 0.85187232
using time: 0.015682, loss: 0.83321434
using time: 0.015122, loss: 0.83206296
using time: 0.021458, loss: 0.80914575
using time: 0.029796, loss: 0.78844291
using time: 0.024107, loss: 0.81050318
using time: 0.018086, loss: 0.83294135
using time: 0.026954, loss: 0.84262228
using time: 0.014010, loss: 0.78043360
using time: 0.014302, loss: 0.79900241
using time: 0.019222, loss: 0.84216630
using time: 0.018119, loss: 0.82300782
using time: 0.015882, loss: 0.87892896
using time: 0.021703, loss: 0.79194486
using time: 0.018817, loss: 0.86441809
using time: 0.019569, loss: 0.84112215
using time: 0.013923, loss: 0.80364478
using time: 0.025579, loss: 0.85590136
using time: 0.014471, loss: 0.85569221
using time: 0.025487, loss: 0.81329966
using time: 0.015982, loss: 0.84771705
using time: 0.018662, loss: 0.89622611
using time: 0.019841, loss: 0.82408160
using time: 0.016147, loss: 0.84537947
using time: 0.027117, loss: 0.84150726
using time: 0.022099, loss: 0.85491103
using time: 0.017698, loss: 0.79170614
using time: 0.016238, loss: 0.85921204
using time: 0.013874, loss: 0.79423440
using time: 0.014512, loss: 0.80259603
using time: 0.017821, loss: 0.80597651
using time: 0.016113, loss: 0.82152987
using time: 0.027452, loss: 0.85610342
using time: 0.033377, loss: 0.82737970
using time: 0.019102, loss: 0.89311004
